epoch,train_l1,train_perc,val_l1,val_perc,train_total,val_total,learning_rate
148,0.032524,4.066650,0.032197,4.123950,0.845854,0.856988,0.00040000
149,0.033489,4.138762,0.033590,4.194613,0.861241,0.872513,0.00040000
150,0.032062,4.079801,0.032264,4.106774,0.848022,0.853618,0.00040000
151,0.033627,4.189949,0.030888,3.946213,0.871617,0.820130,0.00040000
152,0.033089,4.069180,0.037250,4.484297,0.846925,0.934109,0.00040000
153,0.033067,4.101788,0.035511,4.284200,0.853425,0.892351,0.00040000
154,0.033411,4.172827,0.040578,4.691813,0.867977,0.978941,0.00040000
155,0.032214,4.104317,0.033656,4.215547,0.853078,0.876766,0.00040000
156,0.032651,4.145046,0.031252,4.122774,0.861660,0.855807,0.00040000
157,0.033424,4.173096,0.034036,4.146477,0.868043,0.863331,0.00040000
158,0.033888,4.168884,0.033227,4.197988,0.867665,0.872824,0.00040000
159,0.032016,4.123480,0.035033,4.244784,0.856712,0.883990,0.00040000
160,0.031389,4.053390,0.034829,4.228297,0.842067,0.880488,0.00040000
161,0.033927,4.228159,0.033571,4.231856,0.879559,0.879942,0.00040000
162,0.032760,4.115216,0.036155,4.410000,0.855803,0.918155,0.00040000
163,0.033549,4.231493,0.035582,4.382857,0.879848,0.912153,0.00040000
164,0.033123,4.140709,0.033438,4.243476,0.861265,0.882133,0.00040000
165,0.032769,4.128838,0.034714,4.339358,0.858536,0.902586,0.00040000
166,0.031974,4.112848,0.036251,4.459252,0.854544,0.928102,0.00040000
167,0.033024,4.174859,0.034993,4.334459,0.867996,0.901885,0.00040000
168,0.032785,4.145330,0.035703,4.393225,0.861851,0.914348,0.00040000
169,0.032306,4.077393,0.035489,4.390226,0.847785,0.913534,0.00040000
170,0.032789,4.094999,0.034041,4.220139,0.851789,0.878069,0.00040000
171,0.032104,4.102105,0.032069,4.005396,0.852526,0.833148,0.00040000
172,0.032494,4.094154,0.033498,4.143692,0.851325,0.862237,0.00040000
173,0.033999,4.177374,0.036615,4.316420,0.869474,0.899899,0.00040000
174,0.032294,4.080248,0.036196,4.279834,0.848343,0.892163,0.00040000
175,0.033138,4.130843,0.032128,4.119792,0.859307,0.856086,0.00040000
176,0.033635,4.122265,0.033530,4.286407,0.858088,0.890812,0.00040000
177,0.033319,4.144139,0.036082,4.338264,0.862147,0.903735,0.00040000
178,0.033481,4.101782,0.032542,4.115119,0.853838,0.855566,0.00040000
179,0.033130,4.195575,0.035302,4.374418,0.872245,0.910186,0.00040000
180,0.032536,4.137425,0.035449,4.337029,0.860021,0.902855,0.00040000
181,0.033397,4.161541,0.034358,4.233199,0.865705,0.880998,0.00040000
182,0.033363,4.151349,0.035944,4.404371,0.863633,0.916819,0.00040000
183,0.033846,4.149931,0.034208,4.236013,0.863832,0.881411,0.00040000
184,0.032588,4.101075,0.038002,4.512403,0.852804,0.940482,0.00040000
185,0.032923,4.114187,0.035090,4.338325,0.855761,0.902755,0.00040000
186,0.033271,4.184289,0.031921,4.047676,0.870128,0.841456,0.00040000
187,0.033222,4.123265,0.032722,4.254529,0.857875,0.883627,0.00040000
188,0.032943,4.103265,0.035014,4.190070,0.853596,0.873028,0.00040000
189,0.032492,4.065692,0.037270,4.461841,0.845630,0.929639,0.00040000
190,0.031949,4.051412,0.035383,4.394849,0.842231,0.914352,0.00040000
191,0.033816,4.153157,0.035170,4.354192,0.864448,0.906008,0.00040000
192,0.032242,4.134227,0.033907,4.266064,0.859087,0.887120,0.00040000
193,0.032509,4.132744,0.035499,4.291813,0.859058,0.893862,0.00040000
194,0.033588,4.177146,0.034360,4.251504,0.869017,0.884660,0.00040000
195,0.031146,4.040253,0.038424,4.428646,0.839196,0.924153,0.00040000
196,0.033782,4.148468,0.033884,4.285088,0.863476,0.890901,0.00040000
197,0.033726,4.209886,0.034312,4.210377,0.875703,0.876388,0.00040000
198,0.030535,4.024226,0.032897,4.215866,0.835381,0.876070,0.00040000
199,0.033058,4.136458,0.034430,4.377918,0.860350,0.910014,0.00040000
200,0.033174,4.161898,0.038484,4.510144,0.865553,0.940513,0.00040000
201,0.032492,4.080774,0.035751,4.447424,0.848647,0.925236,0.00040000
202,0.032760,4.156320,0.034324,4.190799,0.864024,0.872484,0.00040000
203,0.034338,4.258710,0.034664,4.196779,0.886080,0.874020,0.00020000
204,0.032963,4.138278,0.033474,4.275636,0.860618,0.888601,0.00020000
205,0.033228,4.141715,0.033784,4.328854,0.861571,0.899555,0.00020000
206,0.033456,4.141798,0.032080,4.103595,0.861815,0.852799,0.00020000
207,0.033087,4.208706,0.035000,4.302913,0.874829,0.895583,0.00020000
208,0.032783,4.148678,0.033316,4.198745,0.862519,0.873065,0.00020000
209,0.032961,4.180909,0.035666,4.382806,0.869143,0.912227,0.00020000
210,0.033484,4.224053,0.030072,4.036862,0.878295,0.837444,0.00020000
211,0.032952,4.137510,0.036287,4.480330,0.860454,0.932353,0.00020000
212,0.032924,4.198767,0.029569,3.968142,0.872678,0.823197,0.00020000
213,0.031851,4.049321,0.034993,4.406811,0.841716,0.916355,0.00020000
214,0.032393,4.159392,0.032403,4.066707,0.864271,0.845745,0.00020000
215,0.031464,4.113998,0.031910,4.184567,0.854264,0.868823,0.00020000
216,0.031620,4.051154,0.036000,4.278794,0.841851,0.891759,0.00020000
217,0.033403,4.205906,0.034689,4.312131,0.874584,0.897115,0.00020000
218,0.030421,3.987372,0.033306,4.256029,0.827896,0.884511,0.00020000
219,0.034031,4.263932,0.033402,4.228756,0.886818,0.879154,0.00020000
220,0.033896,4.227387,0.033824,4.433814,0.879373,0.920587,0.00020000
221,0.032012,4.130569,0.032374,4.187892,0.858126,0.869953,0.00020000
222,0.034057,4.244048,0.035354,4.293963,0.882867,0.894147,0.00020000
223,0.032951,4.145097,0.033610,4.107616,0.861971,0.855133,0.00020000
224,0.032041,4.123619,0.033527,4.185332,0.856765,0.870594,0.00020000
225,0.032639,4.120936,0.030706,3.998009,0.856827,0.830308,0.00020000
226,0.030404,3.984157,0.035421,4.365974,0.827236,0.908615,0.00020000
227,0.032134,4.183425,0.029588,3.948332,0.868819,0.819255,0.00020000
228,0.032584,4.111766,0.031035,4.060842,0.854937,0.843203,0.00020000
229,0.032545,4.167376,0.037682,4.579544,0.866021,0.953591,0.00020000
230,0.030341,4.010038,0.034994,4.375909,0.832348,0.910176,0.00020000
231,0.031880,4.134520,0.030625,4.049717,0.858784,0.840568,0.00020000
232,0.031876,4.129890,0.033458,4.183317,0.857853,0.870122,0.00020000
233,0.030156,4.013526,0.030703,3.984469,0.832861,0.827597,0.00020000
234,0.030757,4.064587,0.033493,4.228184,0.843675,0.879129,0.00020000
235,0.032044,4.156856,0.032593,4.142080,0.863415,0.861009,0.00020000
236,0.031566,4.091969,0.036352,4.413651,0.849959,0.919082,0.00020000
237,0.031129,4.086834,0.029324,4.025186,0.848496,0.834362,0.00020000
238,0.031323,4.077526,0.034165,4.254096,0.846828,0.884984,0.00020000
239,0.032737,4.153631,0.032806,4.241137,0.863463,0.881033,0.00020000
240,0.031525,4.063675,0.032277,4.147419,0.844260,0.861760,0.00020000
241,0.032676,4.189921,0.033399,4.243576,0.870660,0.882114,0.00020000
242,0.031358,4.044203,0.032863,4.183098,0.840198,0.869482,0.00020000
243,0.031018,4.067479,0.032211,4.236735,0.844514,0.879558,0.00020000
244,0.032703,4.124858,0.033706,4.155670,0.857674,0.864840,0.00020000
245,0.032218,4.133887,0.031859,4.166387,0.858996,0.865137,0.00020000
246,0.031530,4.039727,0.032030,4.244945,0.839475,0.881019,0.00020000
247,0.034068,4.242842,0.034073,4.228819,0.882636,0.879837,0.00020000
248,0.031287,4.041432,0.029602,4.071372,0.839573,0.843877,0.00020000
249,0.032151,4.117940,0.032377,4.183939,0.855739,0.869165,0.00020000
250,0.031184,4.067085,0.032237,4.242165,0.844601,0.880670,0.00020000
251,0.032071,4.078436,0.035766,4.320059,0.847759,0.899777,0.00020000
252,0.031596,4.086582,0.034855,4.217656,0.848912,0.878386,0.00020000
253,0.032640,4.153076,0.032551,4.158519,0.863255,0.864254,0.00020000
254,0.032673,4.196521,0.036809,4.353722,0.871977,0.907553,0.00020000
255,0.032285,4.185329,0.034067,4.273599,0.869351,0.888787,0.00020000
256,0.031193,4.065959,0.034371,4.274090,0.844385,0.889189,0.00020000
257,0.031472,4.113149,0.034714,4.292392,0.854102,0.893193,0.00020000
258,0.029807,3.985896,0.034754,4.421316,0.826987,0.919017,0.00020000
259,0.030339,4.027103,0.035088,4.423411,0.835759,0.919770,0.00020000
260,0.031083,4.058030,0.032239,4.203493,0.842689,0.872938,0.00020000
261,0.030858,4.034387,0.032093,4.135936,0.837735,0.859280,0.00020000
262,0.032983,4.191523,0.031138,4.137630,0.871288,0.858664,0.00020000
263,0.031479,4.090557,0.030927,4.131811,0.849591,0.857289,0.00020000
264,0.030191,3.984444,0.033467,4.209232,0.827080,0.875313,0.00020000
265,0.030733,4.040438,0.032016,4.077501,0.838821,0.847516,0.00020000
266,0.033151,4.183014,0.033309,4.195383,0.869754,0.872385,0.00020000
267,0.031570,4.048131,0.031501,4.160592,0.841196,0.863620,0.00020000
268,0.031907,4.088196,0.032826,4.239340,0.849546,0.880694,0.00020000
269,0.031556,4.065162,0.033042,4.095088,0.844588,0.852059,0.00020000
270,0.032759,4.138260,0.028693,3.921695,0.860411,0.813032,0.00020000
271,0.030641,4.026405,0.032869,4.294053,0.835922,0.891679,0.00020000
272,0.030407,4.014929,0.034358,4.317542,0.833392,0.897867,0.00020000
273,0.030920,4.038066,0.035357,4.330182,0.838534,0.901393,0.00020000
274,0.030394,3.995093,0.032342,4.166516,0.829413,0.865645,0.00020000
275,0.032780,4.154713,0.032730,4.142545,0.863723,0.861239,0.00020000
276,0.031162,4.090211,0.033900,4.234705,0.849204,0.880841,0.00020000
277,0.031692,4.116716,0.031487,4.124661,0.855035,0.856419,0.00020000
278,0.032022,4.140751,0.034617,4.458651,0.860172,0.926348,0.00020000
279,0.033097,4.134230,0.034504,4.274900,0.859943,0.889484,0.00020000
280,0.031461,4.075243,0.034850,4.293677,0.846510,0.893585,0.00020000
281,0.031515,4.065524,0.030230,4.009539,0.844620,0.832138,0.00020000
282,0.032160,4.182337,0.033116,4.158449,0.868628,0.864806,0.00020000
283,0.033031,4.170382,0.038403,4.521421,0.867107,0.942687,0.00020000
284,0.030640,4.005292,0.032125,4.102299,0.831699,0.852585,0.00020000
285,0.030692,4.020883,0.035131,4.319887,0.834869,0.899109,0.00020000
286,0.032150,4.131754,0.035455,4.442787,0.858500,0.924012,0.00020000
287,0.030304,4.011279,0.036488,4.391473,0.832560,0.914782,0.00020000
288,0.031102,4.039145,0.033026,4.298864,0.838931,0.892799,0.00020000
289,0.030254,4.010228,0.034626,4.239516,0.832299,0.882530,0.00020000
290,0.032286,4.143689,0.036017,4.412792,0.861024,0.918575,0.00020000
291,0.031944,4.111249,0.035200,4.289235,0.854194,0.893047,0.00020000
292,0.032458,4.143440,0.033624,4.222160,0.861146,0.878056,0.00020000
293,0.031221,4.059404,0.036035,4.479252,0.843102,0.931886,0.00020000
294,0.031119,4.089413,0.032191,4.062820,0.849002,0.844755,0.00020000
295,0.032329,4.117179,0.031334,4.168394,0.855765,0.865012,0.00020000
296,0.032432,4.159200,0.032383,4.139653,0.864273,0.860313,0.00020000
297,0.032953,4.185069,0.038215,4.538829,0.869966,0.945981,0.00020000
298,0.030802,4.037013,0.033262,4.166878,0.838205,0.866638,0.00020000
299,0.030383,4.018764,0.031378,4.037763,0.834136,0.838930,0.00020000
300,0.032875,4.159645,0.032281,4.055307,0.864804,0.843342,0.00020000
301,0.030705,4.066637,0.031580,4.034790,0.844033,0.838538,0.00020000
302,0.031777,4.049385,0.035749,4.428209,0.841654,0.921391,0.00020000
303,0.032250,4.101970,0.031113,4.096823,0.852644,0.850477,0.00020000
304,0.031288,4.066607,0.032980,4.231422,0.844609,0.879265,0.00020000
305,0.031699,4.057359,0.039272,4.635828,0.843171,0.966438,0.00020000
306,0.031763,4.082500,0.033852,4.228977,0.848263,0.879647,0.00020000
307,0.031266,4.053304,0.033926,4.247210,0.841926,0.883368,0.00020000
308,0.030156,3.994903,0.028773,3.949769,0.829136,0.818727,0.00020000
309,0.030434,4.033384,0.033498,4.173740,0.837110,0.868246,0.00020000
310,0.031058,3.998748,0.033457,4.207981,0.830808,0.875054,0.00020000
311,0.032238,4.128551,0.031438,4.112416,0.857948,0.853921,0.00020000
312,0.033165,4.173180,0.034079,4.239497,0.867801,0.881979,0.00020000
313,0.031804,4.073597,0.034650,4.281202,0.846523,0.890890,0.00020000
314,0.031528,4.119010,0.030538,4.023945,0.855330,0.835327,0.00020000
315,0.031409,4.040539,0.034163,4.356403,0.839516,0.905443,0.00020000
316,0.031433,4.090710,0.032395,4.226214,0.849575,0.877638,0.00020000
317,0.032535,4.142019,0.033222,4.216339,0.860939,0.876490,0.00020000
318,0.030999,4.057680,0.030771,4.073023,0.842535,0.845375,0.00020000
319,0.031910,4.120116,0.033104,4.199653,0.855933,0.873035,0.00020000
320,0.031524,4.110807,0.032539,4.165439,0.853685,0.865627,0.00020000
321,0.031727,4.050596,0.031598,4.110938,0.841846,0.853786,0.00020000
322,0.030025,3.945846,0.031430,4.102205,0.819194,0.851871,0.00010000
323,0.031005,4.057198,0.033352,4.258001,0.842444,0.884952,0.00010000
324,0.030639,4.015272,0.033415,4.290693,0.833693,0.891554,0.00010000
325,0.031385,4.098976,0.033273,4.232641,0.851180,0.879801,0.00010000
326,0.031759,4.168171,0.033893,4.211409,0.865394,0.876175,0.00010000
327,0.029773,3.948870,0.030137,4.009610,0.819547,0.832059,0.00010000
328,0.031125,4.095698,0.031670,4.160421,0.850265,0.863755,0.00010000
329,0.030632,4.023874,0.030887,4.129813,0.835407,0.856850,0.00010000
330,0.030764,3.979479,0.033613,4.254590,0.826660,0.884531,0.00010000
331,0.031282,4.063574,0.030864,4.091972,0.843997,0.849258,0.00010000
332,0.030384,4.007105,0.032232,4.126924,0.831805,0.857617,0.00010000
333,0.030541,4.008685,0.034710,4.349707,0.832278,0.904652,0.00010000
334,0.031292,4.088626,0.033733,4.218112,0.849018,0.877355,0.00010000
335,0.031613,4.119761,0.030150,4.006178,0.855565,0.831386,0.00010000
336,0.030829,4.036696,0.030559,4.075584,0.838169,0.845676,0.00010000
337,0.030697,4.024802,0.031071,4.110408,0.835657,0.853153,0.00010000
338,0.030400,3.983597,0.034019,4.297978,0.827119,0.893615,0.00010000
339,0.032828,4.164456,0.033782,4.342803,0.865719,0.902343,0.00010000
340,0.032246,4.160023,0.033443,4.262732,0.864251,0.885990,0.00010000
341,0.030907,4.027311,0.033986,4.335716,0.836369,0.901129,0.00010000
342,0.030169,3.989844,0.033715,4.236680,0.828138,0.881051,0.00010000
343,0.030397,4.014261,0.035568,4.465312,0.833249,0.928630,0.00010000
344,0.031172,4.093113,0.031910,4.072086,0.849795,0.846327,0.00010000
345,0.032114,4.165543,0.030136,4.011212,0.865222,0.832378,0.00010000
346,0.030879,4.040607,0.031392,4.198622,0.839000,0.871116,0.00010000
347,0.031255,4.075659,0.032019,4.176281,0.846387,0.867276,0.00010000
348,0.030892,4.078808,0.031283,4.064901,0.846654,0.844263,0.00010000
349,0.030987,4.028407,0.034156,4.319618,0.836669,0.898079,0.00010000
350,0.030686,4.052171,0.030923,3.973763,0.841120,0.825675,0.00010000
351,0.031581,4.119440,0.034936,4.329116,0.855469,0.900760,0.00010000
352,0.031435,4.117299,0.032868,4.135658,0.854895,0.859999,0.00010000
353,0.030515,3.995970,0.034682,4.327732,0.829709,0.900228,0.00010000
354,0.030261,3.983213,0.036636,4.433430,0.826904,0.923322,0.00010000
355,0.032377,4.124181,0.030249,4.083394,0.857213,0.846928,0.00010000
356,0.030641,4.016117,0.031547,4.134029,0.833865,0.858353,0.00010000
357,0.030416,4.031387,0.031731,4.131211,0.836694,0.857974,0.00010000
358,0.030024,4.006377,0.032992,4.310153,0.831300,0.895023,0.00010000
359,0.030956,4.076889,0.032051,4.142176,0.846334,0.860486,0.00010000
360,0.030953,4.021933,0.032717,4.244647,0.835339,0.881646,0.00010000
361,0.032029,4.117510,0.032182,4.082833,0.855531,0.848748,0.00010000
362,0.031368,4.094194,0.032530,4.253523,0.850207,0.883234,0.00010000
363,0.030892,4.040951,0.033163,4.132568,0.839083,0.859677,0.00010000
364,0.032511,4.165145,0.031814,4.209853,0.865540,0.873784,0.00010000
